2016-12-17 22:23:13,927 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.suddenlyjune.financialinvestment:financialinvestment:0.0.1-SNAPSHOT @ C:\Users\sai\Documents\FinancialInvestmentCopy\FinancialInvestmentCopy\pom.xml.
2016-12-17 22:23:29,645 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-17 22:23:29,706 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\sai\Documents\FinancialInvestmentCopy\FinancialInvestmentCopy\src\main\resources
2016-12-17 22:23:29,712 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-17 22:23:29,728 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\sai\Documents\FinancialInvestmentCopy\FinancialInvestmentCopy\src\test\resources
2016-12-17 22:23:35,033 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-17 22:23:35,045 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\sai\Documents\FinancialInvestmentCopy\FinancialInvestmentCopy\src\main\resources
2016-12-17 22:23:35,046 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-17 22:23:35,058 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\sai\Documents\FinancialInvestmentCopy\FinancialInvestmentCopy\src\test\resources
2016-12-17 22:23:35,930 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-17 22:23:36,123 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\sai\Documents\FinancialInvestmentCopy\FinancialInvestmentCopy\src\main\resources
2016-12-17 22:23:36,125 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-17 22:23:36,211 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\sai\Documents\FinancialInvestmentCopy\FinancialInvestmentCopy\src\test\resources
2016-12-17 22:23:37,523 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-17 22:23:37,593 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\sai\Documents\FinancialInvestmentCopy\FinancialInvestmentCopy\src\main\resources
2016-12-17 22:23:37,595 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-17 22:23:37,655 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\sai\Documents\FinancialInvestmentCopy\FinancialInvestmentCopy\src\test\resources
2016-12-17 22:23:38,833 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-17 22:23:38,853 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\sai\Documents\FinancialInvestmentCopy\FinancialInvestmentCopy\src\main\resources
2016-12-17 22:23:38,862 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-17 22:23:38,898 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\sai\Documents\FinancialInvestmentCopy\FinancialInvestmentCopy\src\test\resources
2016-12-17 22:23:39,819 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-17 22:23:39,875 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\sai\Documents\FinancialInvestmentCopy\FinancialInvestmentCopy\src\main\resources
2016-12-17 22:23:39,892 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
